,id,label,length,group
0,NZ_CP034555.1,Bacteria,1187977,test
1,NZ_CP042392.1,Bacteria,3000133,test
2,NZ_CP026634.1,Bacteria,4131102,test
3,NZ_CP034808.1,Bacteria,5529684,test
4,NZ_CP034022.1,Bacteria,2218771,test
5,NZ_CP034551.1,Bacteria,5416249,test
6,NZ_CP044496.1,Bacteria,1683905,test
7,NZ_CP042858.1,Bacteria,5803733,test
8,NZ_CP042324.1,Bacteria,8667664,test
9,NZ_CP046791.1,Bacteria,3275152,test
10,NZ_CP026903.1,Bacteria,4104267,test
11,NZ_CP015853.1,Bacteria,5567434,test
12,NZ_CP020018.1,Bacteria,1758362,test
13,NZ_CP039259.1,Bacteria,355745,test
14,NZ_CP019086.1,Bacteria,4703982,test
15,NZ_CP044063.1,Bacteria,1742393,test
16,NZ_CP025881.1,Bacteria,4984787,test
17,NZ_CP053571.1,Bacteria,3327596,test
18,NZ_CP023689.1,Bacteria,9912098,test
19,NZ_CP025031.1,Bacteria,2632932,test
20,NZ_CP029238.1,Bacteria,4641652,test
21,NZ_CP029196.1,Bacteria,7893803,test
22,NZ_CP021265.1,Bacteria,3555279,test
23,NZ_CP031462.1,Bacteria,5026592,test
24,NZ_CP042862.1,Bacteria,3475711,test
25,NZ_CP044083.1,Bacteria,5286332,test
26,NZ_CP038372.1,Bacteria,5593140,test
27,NZ_CP020819.1,Bacteria,5200288,test
28,NZ_CP028926.1,Bacteria,2277636,test
29,NZ_CP027771.1,Bacteria,1869673,test
30,NZ_CP033218.1,Bacteria,4341076,test
31,NZ_CP033043.1,Bacteria,5230624,test
32,NZ_CP046267.1,Bacteria,2989570,test
33,NZ_CP043155.1,Bacteria,4773862,test
34,NZ_CP051269.1,Bacteria,4819669,test
35,NZ_CP034039.1,Bacteria,5489245,test
36,NZ_CP029154.1,Bacteria,4295210,test
37,NZ_CP025743.1,Bacteria,2124241,test
38,NZ_CP053044.1,Bacteria,3965977,test
39,NZ_CP035226.1,Bacteria,4192706,test
40,NZ_CP029900.1,Bacteria,4800621,test
41,NZ_CP029189.1,Bacteria,7746267,test
42,NZ_CP038153.1,Bacteria,3077701,test
43,NZ_CP034415.1,Bacteria,5474803,test
44,NZ_CP056119.1,Bacteria,4875486,test
45,NZ_CP040911.1,Bacteria,3844669,test
46,NZ_CP025384.1,Bacteria,4107408,test
47,NZ_CP053998.1,Bacteria,1999501,test
48,NZ_CP042478.1,Bacteria,5095110,test
49,NZ_CP023775.1,Bacteria,4075641,test
50,NZ_CP029097.1,Bacteria,7139518,test
51,NZ_CP053364.1,Bacteria,5539612,test
52,NZ_CP034734.1,Bacteria,4547041,test
53,NZ_CP022904.1,Bacteria,2913334,test
54,NZ_CP038517.1,Bacteria,3755707,test
55,NZ_CP046314.1,Bacteria,1779451,test
56,NZ_CP042551.1,Bacteria,5068785,test
57,NZ_CP045007.1,Bacteria,1807083,test
58,NZ_CP031182.1,Bacteria,2511216,test
59,NZ_CP032635.1,Bacteria,1964215,test
60,NZ_CP046742.1,Bacteria,2924072,test
61,NZ_CP043558.1,Bacteria,1195141,test
62,NZ_CP021436.1,Bacteria,5637049,test
63,NZ_CP051481.1,Bacteria,693115,test
64,NZ_CP031277.1,Bacteria,2202898,test
65,NZ_CP037945.1,Bacteria,5592581,test
66,NZ_CP031515.1,Bacteria,4575125,test
67,NZ_CP021932.1,Bacteria,3326107,test
68,NZ_CP054198.1,Bacteria,2520015,test
69,NZ_CP033996.1,Bacteria,2818171,test
70,NZ_CP029738.1,Bacteria,5347404,test
71,NZ_CP026591.1,Bacteria,4201330,test
72,NZ_CP035291.1,Bacteria,2517618,test
73,NZ_CP022594.1,Bacteria,1098413,test
74,NZ_CP051698.1,Bacteria,4757546,test
75,NZ_CP050691.1,Bacteria,2744920,test
76,NZ_CP050706.1,Bacteria,4679542,test
77,NZ_CP026067.1,Bacteria,2881244,test
78,NZ_CP043144.1,Bacteria,4773919,test
79,NZ_CP027035.1,Bacteria,4355637,test
80,NZ_CP039520.1,Bacteria,3915428,test
81,NZ_CP036523.1,Bacteria,2521899,test
82,NZ_CP045826.1,Bacteria,4166516,test
83,NZ_CP039637.1,Bacteria,912147,test
84,NZ_CP035720.1,Bacteria,4928938,test
85,NZ_CP028834.1,Bacteria,8718751,test
86,NZ_CP037867.1,Bacteria,4860785,test
87,NZ_CP046243.1,Bacteria,1520838,test
88,NZ_CP024868.1,Bacteria,1070367,test
89,NZ_CP028584.2,Bacteria,6886080,test
90,NZ_CP035439.1,Bacteria,1806314,test
91,NZ_CP021067.1,Bacteria,2856344,test
92,NZ_CP028339.1,Bacteria,3658031,test
93,NZ_CP025491.2,Bacteria,4333322,test
94,NZ_CP038295.1,Bacteria,5219269,test
95,NZ_CP033182.1,Bacteria,4684818,test
96,NZ_CP053616.1,Bacteria,4055642,test
97,NZ_CP039457.1,Bacteria,2149841,test
98,NZ_CP047321.1,Bacteria,2899307,test
99,NZ_CP042173.1,Bacteria,4539645,test
100,NZ_CP024109.1,Bacteria,4082665,test
101,NZ_CP026953.1,Bacteria,2834575,test
102,NZ_CP027856.1,Bacteria,4508901,test
103,NZ_CP030150.1,Bacteria,4258978,test
104,NZ_CP034098.1,Bacteria,2732619,test
105,NZ_CP032817.1,Bacteria,4985874,test
106,NZ_CP053281.1,Bacteria,4982336,test
107,NZ_CP029956.1,Bacteria,4799946,test
108,NZ_CP054913.1,Bacteria,4536577,test
109,NZ_CP028859.1,Bacteria,3920316,test
110,NZ_CP050334.1,Bacteria,6229931,test
111,NZ_CP042540.1,Bacteria,4719578,test
112,NZ_CP043079.1,Bacteria,4773886,test
113,NZ_CP038465.1,Bacteria,5117112,test
114,NZ_CP026089.2,Bacteria,4040202,test
115,NZ_CP026961.1,Bacteria,2873867,test
116,NZ_CP025348.1,Bacteria,4107445,test
117,NZ_CP035186.1,Bacteria,3944921,test
118,NZ_CP028169.1,Bacteria,4941290,test
119,NZ_CP041070.1,Bacteria,3016922,test
120,NZ_CP021129.1,Bacteria,818848,test
121,NZ_CP028783.2,Bacteria,5413765,test
122,NZ_CP043128.1,Bacteria,3695342,test
123,NZ_CP032566.1,Bacteria,4614856,test
124,NZ_CP048382.1,Bacteria,4695344,test
125,NZ_CP025317.1,Bacteria,4730877,test
126,NZ_CP038861.1,Bacteria,1019748,test
127,NZ_CP032184.1,Bacteria,5121015,test
128,NZ_CP045468.1,Bacteria,2784709,test
129,NZ_CP029042.1,Bacteria,9125666,test
130,NZ_CP044257.1,Bacteria,4757321,test
131,NZ_CP032666.1,Bacteria,1851471,test
132,NZ_CP033767.1,Bacteria,1837737,test
133,NZ_CP023276.1,Bacteria,1995529,test
134,NZ_CP042450.1,Bacteria,1830295,test
135,NZ_CP023341.1,Bacteria,3929697,test
136,NZ_CP041925.1,Bacteria,5183422,test
137,NZ_CP034663.1,Bacteria,1832141,test
138,NZ_CP047807.1,Bacteria,2697945,test
139,NZ_CP042250.1,Bacteria,5084081,test
140,NZ_CP033622.1,Bacteria,4714731,test
141,NZ_CP025379.1,Bacteria,4100921,test
142,NZ_CP046411.1,Bacteria,3577848,test
143,NZ_CP033189.1,Bacteria,4909962,test
144,NZ_CP031781.1,Bacteria,3291121,test
145,NZ_CP042907.1,Bacteria,4090308,test
146,NZ_CP046722.1,Bacteria,4022781,test
147,NZ_CP016989.1,Bacteria,5159182,test
148,NZ_CP039065.1,Bacteria,3052624,test
149,NZ_CP048617.1,Bacteria,2539490,test
150,NZ_CP031560.1,Bacteria,4909058,test
151,NZ_CP043626.1,Bacteria,6880508,test
152,NZ_CP030936.1,Bacteria,4780894,test
153,NZ_CP018937.1,Bacteria,5196111,test
154,NZ_CP036453.1,Bacteria,3113526,test
155,NZ_CP029991.1,Bacteria,4598348,test
156,NZ_CP053730.1,Bacteria,4590822,test
157,NZ_CP046042.2,Bacteria,2188654,test
158,NZ_CP025916.1,Bacteria,5115137,test
159,NZ_CP021516.1,Bacteria,2166707,test
160,NZ_CP028157.1,Bacteria,4668881,test
161,NZ_CP027160.1,Bacteria,5194420,test
162,NZ_CP016339.1,Bacteria,4095467,test
163,NZ_CP026665.1,Bacteria,4106636,test
164,NZ_CP042246.1,Bacteria,5126272,test
165,NZ_CP033340.1,Bacteria,4668874,test
166,NZ_CP032178.1,Bacteria,5425436,test
167,NZ_CP023861.1,Bacteria,2944523,test
168,NZ_CP020432.1,Bacteria,2178261,test
169,NZ_CP021886.1,Bacteria,2034706,test
170,NZ_CP029568.1,Bacteria,5070296,test
171,NZ_CP025537.1,Bacteria,3713225,test
172,NZ_CP038346.1,Bacteria,5566982,test
173,NZ_CP030125.1,Bacteria,2229183,test
174,NZ_CP028977.1,Bacteria,3230192,test
175,NZ_CP031913.1,Bacteria,5406250,test
176,NZ_CP025605.1,Bacteria,4411399,test
177,NZ_CP046812.1,Bacteria,157325,test
178,NZ_CP035641.1,Bacteria,2337561,test
179,NZ_CP031356.1,Bacteria,3720646,test
180,NZ_CP048439.1,Bacteria,4656310,test
181,NZ_CP038363.1,Bacteria,5519312,test
182,NZ_CP043562.1,Bacteria,5058062,test
183,NZ_CP044136.1,Bacteria,4105149,test
184,NZ_CP047360.1,Bacteria,5505304,test
185,NZ_CP027454.1,Bacteria,5338915,test
186,NZ_CP046862.1,Bacteria,2338023,test
187,NZ_CP023820.1,Bacteria,5099240,test
188,NZ_CP033713.1,Bacteria,5026929,test
189,NZ_CP046934.1,Bacteria,2338026,test
190,NZ_CP049205.1,Bacteria,4981423,test
191,NZ_CP031332.1,Bacteria,2190201,test
192,NZ_CP040367.1,Bacteria,3892082,test
193,NZ_CP034237.1,Bacteria,4872902,test
194,NZ_CP050726.1,Bacteria,4974417,test
195,NZ_CP022054.2,Bacteria,2650878,test
196,NZ_CP047325.1,Bacteria,4119195,test
197,NZ_CP033430.1,Bacteria,4171651,test
198,NZ_CP047777.1,Bacteria,2806864,test
199,NZ_CP027306.1,Bacteria,9641288,test
200,NZ_CP039790.1,Bacteria,816424,test
201,NZ_CP045922.1,Bacteria,4215512,test
202,NZ_CP033023.1,Bacteria,2013898,test
203,NZ_CP026895.1,Bacteria,4110562,test
204,NZ_CP032237.1,Bacteria,4737445,test
205,NZ_CP035307.1,Bacteria,2133343,test
206,NZ_CP020645.1,Bacteria,5242373,test
207,NZ_CP034745.1,Bacteria,4549801,test
208,NZ_CP043033.1,Bacteria,5134250,test
209,NZ_CP025840.1,Bacteria,5138709,test
210,NZ_CP043077.1,Bacteria,4773927,test
211,NZ_CP029881.1,Bacteria,4791108,test
212,NZ_CP045236.1,Bacteria,3430130,test
213,NZ_CP032321.1,Bacteria,3007928,test
214,NZ_CP043857.1,Bacteria,2105974,test
215,NZ_CP017491.1,Bacteria,2646006,test
